Hash,author,KC-Tags,MF-Tags,AM-Tags
4c89e03a79fe3e845c6c1cd2343a30552cda933f,David Schleef,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
e0c708a906655680977061a360a4c2348cd1626b,Eric Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
3259c862c11bfc2260cfbe86d823a3aea68b4e2d,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
8cda0a538b60604b0befc109d8aebf9cd179e2c8,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build') | 'addAsset'],['addAsset']
df1d8b1a4074579139786d2838ae7072587bbee7,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],no-tag-changed
1965c122639d751be81882b3793e3e48da3d2a32,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],no-tag-changed
ce576068ef16da367a441eda7047cb3b288b8ba1,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],no-tag-changed
4d6ba4ccf89262743eb2093474a571decb455d27,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
eb2ecd0b083611bdd07c5352ffc9cfa22e0de711,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build') | ('Added' | 'build')],['removeAsset' | 'changeAsset' | ('Modify' | 'ifdef') | ('Added' | 'ifdef')]
1ad125864acdec8bc4418c40dd11aad2693b075a,Eric Andersen,no-tag-changed,[('Added' | 'build')],no-tag-changed
6ba17041381afeb8c1274cce4c6ffebda0253328,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],no-tag-changed
8187b0ccda766ff2000e954f01ba918faefc05d2,Eric Andersen,no-tag-changed,[('Modify' | 'build') | ('Added' | 'build')],[('Remove' | 'ifdef') | 'changeAsset' | 'addAsset']
252277d7506fef610326b17ddbf5d1d42d244e52,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
ed004f7af354ebf0ddb3b271619601555b5176fb,Eric Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],['changeAsset']
21a16e8edd3ec42e4566e87cd2982f054ce4f6d9,Eric Andersen,no-tag-changed,[('Remove' | 'build')],no-tag-changed
11fed3fb4529fb88a3a46ee0a5745a64c866ffd5,Eric Andersen,no-tag-changed,[('Remove' | 'build')],no-tag-changed
9e0d614275e64b3a14ac417bccb2dff519f159d8,Eric Andersen,no-tag-changed,[('Modify' | 'build')],no-tag-changed
87e26cded507b12940d6fef474e5aa7ce39b8ebf,Eric Andersen,no-tag-changed,[('Remove' | 'build')],no-tag-changed
19cf2f446177ebf7c0b569f908696d6ac318d0ac,Eric Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
04bc82edc59fed897b7f38e5f68a76402f087dfb,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
7f7410d05a7794c63a42b987d1136f6455ff23c7,Eric Andersen,no-tag-changed,[('Modify' | 'build') | ('Remove' | 'build') | ('Added' | 'build')],['changeAsset']
b8f03a94957c913fa0d8588c41b0332b49310ff0,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
fbb4007ac88656122f9319dea4563a3a4fd40e82,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],['addAsset' | 'changeAsset']
59030d6f8ae481f69966aa9e1062af461b50e1b0,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
